date	_STAT_	BIDLO	ASKHI	PRC	VOL	RET	BID	ASK	OPENPRC	RETX	vwretd	vwretx	ewretd	ewretx
20000630	MEAN	23.455792724	25.008130122	23.851308455	496720.68293	-0.00128652	24.581142704	24.873792918	24.404958719	-0.00128652	0.007203	0.007182	0.00335	0.003308
20000703	MEAN	23.869474106	24.772865854	23.915650407	161641.54878	0.0158703089	24.620591286	24.972380705	24.643723629	0.0158284715	0.010107	0.010068	0.009029	0.008875
20000705	MEAN	24.059324228	25.050813049	24.453252033	296373.23171	0.0038990854	24.818433544	25.159414557	24.657343169	0.0038883618	-0.016242	-0.01639	-0.00656	-0.00664
20000706	MEAN	24.105055894	25.059260691	24.254446138	284819.60976	0.0061667764	24.663671875	24.991927083	24.810026042	0.0060995569	0.008836	0.008739	0.004413	0.004346
20000707	MEAN	24.419080325	25.28429878	24.614329309	289693.20732	0.0024516748	25.255514706	25.574973739	24.982689378	0.0024516748	0.014613	0.014608	0.005064	0.005053
20000710	MEAN	24.565866382	25.457698171	24.873602642	304572.30488	0.0061338659	25.445675105	25.774129747	24.988040165	0.0061338659	-0.001423	-0.001425	0.002202	0.002186
20000711	MEAN	24.630335407	25.494093008	23.378556911	321991.34959	0.0022335691	25.400975738	25.724683544	24.701163724	0.0022335691	0.002082	0.002057	0.00049	0.000481
20000712	MEAN	24.887449187	25.862296748	25.521786138	317428.66667	0.0114416301	25.914459746	26.217955508	25.24609377	0.0112340976	0.013558	0.013489	0.011104	0.010825
20000713	MEAN	24.862868415	25.772484756	23.694867886	347755.4187	0.0076941545	25.732256356	26.046477754	24.562950123	0.0075712967	0.005981	0.005958	0.004407	0.004302
20000714	MEAN	25.031948699	25.858041179	24.880335407	349854.64634	0.0027890488	25.625787815	25.952731092	25.958860759	0.0027890488	0.010094	0.010092	0.006718	0.006703
20000717	MEAN	25.058244431	25.982723618	25.364202236	321334.14228	0.0027738577	25.641736402	25.963258368	25.697959752	0.0027738577	0.00141	0.00141	0.005158	0.005153
20000718	MEAN	25.057164675	25.959857724	25.118584878	306492	-0.000156988	25.611924686	25.925601464	25.674598133	-0.00019565	-0.012782	-0.012794	-0.004613	-0.004648
20000719	MEAN	24.988821138	25.912982724	23.197281504	349133.21951	-0.004998313	25.469139004	25.781639004	25.393008475	-0.004998313	-0.01137	-0.011411	-0.006799	-0.006856
20000720	MEAN	25.079776423	26.037157033	25.396023862	322233.86179	0.0090422886	25.739756224	26.061332988	25.59839876	0.0089295772	0.013586	0.013576	0.00475	0.004713
20000721	MEAN	25.032266301	25.962144309	24.543508618	303911.58537	-0.00914965	25.185046488	25.505036157	26.265957447	-0.00914965	-0.012187	-0.012196	-0.008257	-0.008278
20000724	MEAN	24.744093008	25.712652439	24.692073171	308738.5122	-0.00469102	25.429654812	25.741631799	25.920094937	-0.004732244	-0.013926	-0.013966	-0.009742	-0.009755
20000725	MEAN	24.773755081	25.667937033	24.819232724	278907.80081	0.0035097195	25.259635417	25.576041667	25.463671917	0.0034760772	0.006208	0.006204	-0.001829	-0.001841
